profile_id_dummy,company,positions,durations
21,Actifai · Full-time,['Chief Technology Officer'],"['Apr 2022 - Present · 8 mos', 'Washington DC-Baltimore Area']"
21,Tipboxme,['Co-founder'],['Aug 2020 - Present · 2 yrs 4 mos']
21,koRE Lab Systems,['CEO'],['Nov 2018 - Present · 4 yrs 1 mo']
21,"Nexus Systems, LLC",['CTO'],['Jun 2017 - Nov 2018 · 1 yr 6 mos']
21,Nexus Systems Inc,"['Vice President, Technology', 'Director of Software Development']","['Jun 2009 - Jun 2017 · 8 yrs 1 mo', 'Mar 2006 - Jun 2009 · 3 yrs 4 mos']"
