profile_id_dummy,education_institute,degree_list
53,Rice University,"['Phd, Computer Science', 'Aug 1995 - Oct 2000']"
53,Rice University,"['MS, Computer Science', 'Aug 1995 - Dec 1997']"
53,"Indian Institute of Technology, Delhi","['B.Tech., Computer Science and Engineering', '1991 - 1995']"
