profile_id_dummy,company,positions,durations
33,C3 AI,"['Chief Technology Officer, Products', 'Group Vice President, Products']","['Aug 2022 - Present · 4 mos', 'Mar 2013 - Aug 2022 · 9 yrs 6 mos']"
33,McKinsey & Company,['Associate Principal'],['Sep 2006 - Mar 2013 · 6 yrs 7 mos']
33,Columbia University in the City of New York · Full-time,"['Assistant Professor, Earth and Environmental Engineering']","['2007 - 2008 · 1 yr', 'New York, New York, United States']"
33,Applied Materials · Full-time,['Research Scientist'],"['2005 - 2006 · 1 yr', 'Santa Clara, California, United States']"
33,Columbia University in the City of New York · Full-time,['Earth Institute Fellow'],['2004 - 2005 · 1 yr']
