profile_id_dummy,company,positions,durations
64,Dewberry.in · Full-time,['Chief Technology Officer'],"['Apr 2019 - Present · 3 yrs 8 mos', 'Jaipur, Rajasthan, India']"
64,Adeptcoders,['Business Development Manager'],"['Sep 2014 - Apr 2019 · 4 yrs 8 mos', 'Noida Area, India']"
64,Avika,['Sr. software developer'],"['Dec 2011 - Feb 2013 · 1 yr 3 mos', 'jaipur']"
64,search-value,['Jr Software developer'],"['Apr 2011 - Dec 2011 · 9 mos', 'Noida Area, India']"
