profile_id_dummy,company,positions,durations
13,The Arena Group,"['Chief Technology Officer', 'CTO, Data and Machine Learning']","['Oct 2020 - Present · 2 yrs 2 mos', 'May 2020 - Sep 2020 · 5 mos']"
13,Various,['Various'],['Nov 2018 - May 2020 · 1 yr 7 mos']
13,LiftIgniter (acquired by Maven now known as The Arena Group) · Part-time,['Board Member'],['Nov 2018 - Apr 2020 · 1 yr 6 mos']
13,LiftIgniter,['Founder'],['Jan 2014 - Nov 2018 · 4 yrs 11 mos']
13,Google,['Research Scientist'],"['Oct 2011 - Jun 2013 · 1 yr 9 mos', 'Mountain View CA']"
