profile_id_dummy,education_institute,degree_list
94,Thiagarajar College of Engineering,"['Bachelor of Engineering (B.E.), Electronics and Communications Engineering', '1995 - 1998']"
94,Muthiah Polytechnic,"['Diploma, Electrical and Electronics', '1992 - 1995']"
