profile_id_dummy,company,positions,durations
65,Nissan Motor Corporation,"['Director - Chief Technology Officer - Americas', 'Head of Delivery - M&S - Digital Transformation - Dealer Experience & Customer Experience']","['Oct 2021 - Present · 1 yr 2 mos', 'Franklin, Tennessee, United States', 'Jul 2017 - Oct 2021 · 4 yrs 4 mos', 'Greater Nashville Area, TN']"
65,Renault-Nissan Alliance,"['General Manager - Head of Nissan IS/IT - RNTBCI', 'Head - Nissan North America IS/IT Delivery - RNTBCI']","['Chennai Area, India', 'Jan 2015 - Jul 2017 · 2 yrs 7 mos', 'Jun 2013 - Dec 2014 · 1 yr 7 mos']"
65,Nissan Motor Corporation,['Many roles - Individual Performer & Management roles'],"['Apr 1998 - May 2013 · 15 yrs 2 mos', 'Nissan North America']"
