profile_id_dummy,company,positions,durations
94,CoreStack · Full-time,['Chief Technology Officer'],"['Nov 2016 - Present · 6 yrs 1 mo', 'Chennai Area, India']"
94,Forbes Technology Council,['Member'],"['Jan 2019 - Present · 3 yrs 11 mos', 'Bellevue, United States']"
94,Cloudenablers,['Co-Founder and CTO'],"['Oct 2014 - Oct 2016 · 2 yrs 1 mo', 'Chennai, India']"
94,Cusdelight Consultancy Services,['Co-Founder and CTO'],"['Nov 2007 - Sep 2014 · 6 yrs 11 mos', 'Chennai Area, India']"
94,Tata Consultancy Services,"['Techno-Functional Retail Consultant', 'Technical Manager', 'Technical Lead']","['2007 · Less than a year', '2005 - 2007 · 2 yrs', '2002 - 2005 · 3 yrs']"
