profile_id_dummy,education_institute,degree_list
62,University of Illinois System,"['Doctor of Philosophy (Ph.D.), Computer Science, Artificial Intelligence, Software Engineering, Software Architecture', '2010 - 2014']"
62,Northwestern University - Kellogg School of Management,"['Executive Scholar Program, ""General Management"",""Technology & Operations"",""Financial Management"",""Marketing & Sales Management""', '2004 - 2010']"
62,Northwestern University,"['Master of Engineering Management (MEM), Engineering Management, Operations Management', '2004 - 2007']"
