profile_id_dummy,company,positions,durations
26,Victoria Fide Consulting,['Chief Technology Officer'],"['Aug 2021 - Present · 1 yr 4 mos', 'Minneapolis, Minnesota, United States']"
26,Artius Solutions,['Founder'],"['Jan 2019 - Present · 3 yrs 11 mos', 'Minnetonka, Minnesota, United States']"
26,Everidge,['Enterprise Architect'],"['May 2019 - Aug 2021 · 2 yrs 4 mos', 'Plymouth, Minnesota, United States']"
26,Stoneridge Software,"['Sr. Architect', 'Sr. Functional Consultant']","['Minneapolis, Minnesota, United States', 'Jun 2016 - May 2019 · 3 yrs', 'May 2015 - Jun 2016 · 1 yr 2 mos']"
26,Microsoft,"['Software Engineer', 'SDET']","['Fargo, North Dakota, United States', 'Jan 2013 - May 2015 · 2 yrs 5 mos', 'May 2012 - Jan 2013 · 9 mos']"
