profile_id_dummy,company,positions,durations
32,Cantaloupe Inc · Full-time,['Chief Technology Officer'],"['2022 - Present · 11 mos', 'Atlanta Metropolitan Area']"
32,Georgia Lottery Corporation · Full-time,['Executive VP and Chief Information Officer'],"['2019 - 2022 · 3 yrs', 'Greater Atlanta Area']"
32,"XPO Logistics, Inc. · Full-time",['VP and Chief Product Officer'],"['2017 - 2019 · 2 yrs', 'Greater Atlanta Area']"
32,Goldman Sachs,['Vice President Of Technology'],"['2010 - 2017 · 7 yrs', 'Greater New York City Area']"
32,MyAutoZap,['Chief Technology Officer and Founder'],"['2009 - 2013 · 4 yrs', 'Greater New York City Area']"
