profile_id_dummy,company,positions,durations
54,ASAPP · Full-time,['Chief Technology Officer'],"['Mar 2022 - Present · 9 mos', 'San Francisco Bay Area']"
54,Microsoft,['Vice President Data & AI'],"['Apr 2019 - Mar 2022 · 3 yrs', 'San Francisco Bay Area']"
54,NurtureNext,['Founder'],"['Jul 2016 - Mar 2022 · 5 yrs 9 mos', 'Silicon Valley']"
54,IBM,"['CTO Vice President Applied AI', 'CTO - Cognitive/IOT/Analytics/Watson Health']","['Feb 2017 - Apr 2019 · 2 yrs 3 mos', 'San Francisco Bay Area', 'Feb 2017 - Apr 2018 · 1 yr 3 mos', 'San Francisco Bay Area']"
54,Sagacito Technologies,['CTO in Residence'],"['Jul 2016 - Dec 2016 · 6 mos', 'Silicon Valley']"
