profile_id_dummy,company,positions,durations
27,Trigyan  · Full-time,['Chief Technology Officer'],"['Sep 2022 - Present · 3 mos', 'Iselin, New Jersey, United States']"
27,"DQLabs, Inc.",['Advisor'],['Sep 2022 - Present · 3 mos']
27,Data Intelligence Advisory,['Co-Founder'],['Sep 2022 - Present · 3 mos']
27,Walmart Global Tech,"['Director, Data Management Architecture & Engineering', 'Principal Data Architect, Retail Technology Platforms', 'Senior Manager II']","['Hoboken, New Jersey, United States', 'May 2022 - Sep 2022 · 5 mos', 'Nov 2021 - May 2022 · 7 mos', 'Feb 2020 - Nov 2021 · 1 yr 10 mos']"
27,JPMorgan Chase & Co.,['Executive Director'],"['Feb 2015 - Feb 2020 · 5 yrs 1 mo', 'Jersey City, NJ']"
