profile_id_dummy,company,positions,durations
29,Third Summit · Full-time,['Chief Technology Officer'],['Jul 2021 - Present · 1 yr 5 mos']
29,Rand McNally,['Chief Technology Officer'],"['Apr 2014 - Jul 2021 · 7 yrs 4 mos', 'Chicago, Illinois']"
29,Nokia/HERE,['VP Engineering'],"['Sep 2006 - Apr 2014 · 7 yrs 8 mos', 'Chicago']"
29,JC Whitney,['E-Commerce Development Manager'],['May 2004 - Aug 2006 · 2 yrs 4 mos']
29,AOL MusicNow/fullaudio.com,['Director of Business Systems and Operations'],['Apr 2001 - May 2004 · 3 yrs 2 mos']
