profile_id_dummy,education_institute,degree_list
27,Rensselaer Polytechnic Institute - The Lally School of Management,"['Bachelors of Science, Management', '1988']"
27,Hudson Valley Community College,"['Associate in Science, Liberal Arts and Sciences', '1987']"
27,The Bronx High School of Science,['1980 - 1984']
