profile_id_dummy,company,positions,durations
102,Genesis Systems (USA) - Technologies That Transform,['Chief Technology Officer'],"['Sep 2020 - Present · 2 yrs 3 mos', 'Tampa, Florida, United States']"
102,Matter Labs,['Director'],['2009 - Present · 13 yrs 11 mos']
102,WebEvents Global,['Director of Innovation'],['Sep 2013 - Present · 9 yrs 3 mos']
102,Higher Standard Solutions,['Director'],['Mar 2001 - Present · 21 yrs 9 mos']
102,Preventum Initiative,['Director'],"['Feb 2018 - Sep 2020 · 2 yrs 8 mos', 'Greater Los Angeles Area']"
