profile_id_dummy,education_institute,degree_list
112,The University of Queensland,"['Doctor of Philosophy (PhD), Agriculture, Genetics, Analytics']"
112,The University of Queensland,"[""Bachelor's degree, Agricultural and Horticultural Plant Breeding""]"
