profile_id_dummy,company,positions,durations
96,Thrivent · Full-time,['Chief Digital & Technology Officer'],"['Apr 2021 - Present · 1 yr 8 mos', 'Minneapolis, Minnesota, United States']"
96,TCF Bank,"['CIO', 'CTO / Digital / Enterprise Delivery']","['Sep 2019 - Apr 2021 · 1 yr 8 mos', 'Greater Minneapolis-St. Paul Area', 'Oct 2015 - Apr 2021 · 5 yrs 7 mos', 'Plymouth, MN']"
96,Target,"['Vice President - DevOps / Infrastructure / Enterprise Architecture', 'Vice President - Enterprise Architecture /  Data & BI']","['2014 - 2015 · 1 yr', 'Minneapolis', '2014 - 2015 · 1 yr', 'Greater Minneapolis-St. Paul Area']"
96,Target,"['Senior Director / Director - IT Strategy, Canada Expansion']","['2010 - 2013 · 3 yrs', 'Greater Minneapolis-St. Paul Area']"
96,Target,"['Senior Group Manager - Stores Technology', 'Group Manager - Target.com', 'Group Manager - Product Design and Development / Supply Chain']","['2006 - 2009 · 3 yrs', 'Greater Minneapolis-St. Paul Area', '2005 - 2006 · 1 yr', 'Greater Minneapolis-St. Paul Area', '2003 - 2005 · 2 yrs', 'Greater Minneapolis-St. Paul Area']"
