profile_id_dummy,education_institute,degree_list
94,Stanford University,"['M.S., Decision and Risk Analysis', '2005 - 2007']"
94,"Indian Institute of Technology, Madras","['B. Tech., M. Tech., Mechanical Engineering, Energy Technology', '2000 - 2005']"
