profile_id_dummy,company,positions,durations
8,Synpulse · Permanent Full-time,['Senior Consultant'],"['Sep 2022 - Present · 3 mos', 'Toronto, Ontario, Canada']"
8,Synpulse Management Consulting · Full-time,['Consultant'],"['Jan 2022 - Jul 2022 · 7 mos', 'Singapore']"
8,Impact Consulting · Part-time,['Engagement Manager'],"['Jul 2021 - May 2022 · 11 mos', 'Singapore']"
8,January Capital · Internship,['Investment Analyst'],"['Jun 2021 - Nov 2021 · 6 mos', 'Singapore']"
8,NUS Business School,['President - Consulting Club | 38th NUS MBA Students’ Council'],['Jan 2021 - Sep 2021 · 9 mos']
