profile_id_dummy,company,positions,durations
122,Boston Consulting Group (BCG),"['Principal', 'Project Leader', 'Consultant']","['Mar 2022 - Present · 9 mos', 'Sep 2020 - Feb 2022 · 1 yr 6 mos', 'Jul 2019 - Aug 2020 · 1 yr 2 mos', 'Houston, Texas Area']"
122,TH3RD BRAIN,['Interim CFO'],"['Jun 2018 - Aug 2018 · 3 mos', 'Los Angeles, California']"
122,Boston Consulting Group (BCG),"['Consultant', 'Associate']","['Sep 2016 - Jul 2017 · 11 mos', 'Houston, Texas Area', 'Sep 2014 - Aug 2016 · 2 yrs', 'Houston, Texas Area']"
122,The University of Texas at Austin,['Teaching Assistant'],"['Aug 2013 - Dec 2013 · 5 mos', 'Austin, Texas Area']"
122,ExxonMobil,['Reservoir Engineering Intern'],"['May 2013 - Aug 2013 · 4 mos', 'Houston, Texas Area']"
