profile_id_dummy,company,positions,durations
147,Boston Consulting Group (BCG),"['Principal', 'Project Leader', 'Consultant']","['Feb 2022 - Present · 10 mos', 'New York, United States', 'Jun 2020 - Jan 2022 · 1 yr 8 mos', 'New York, United States', 'Apr 2018 - May 2020 · 2 yrs 2 mos', 'Greater New York City Area']"
147,The Boston Consulting Group,['Summer Associate'],"['Jun 2015 - Aug 2015 · 3 mos', 'New York']"
147,Accenture,['Summer Analyst'],"['May 2013 - Jul 2013 · 3 mos', 'Athens, Greece']"
