profile_id_dummy,education_institute,degree_list
41,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),"['Master of Business Administration - MBA', '2019 - 2021']"
41,B. M. S. College of Engineering,"['Bachelor of Technology - BTech, Mechanical Engineering', '2010 - 2014']"
41,Sommerville Scool Noida,['1996 - 2010']
