profile_id_dummy,education_institute,degree_list
29,"Indian Institute of Technology, Delhi","['Bachelor of Technology - BTech, Biochemical Engineering and Biotechnology', '2015 - 2019']"
29,"Delhi Public School, Faridabad",['2000 - 2015']
