profile_id_dummy,company,positions,durations
35,NRI (Nomura Research Institute),"['Consultant', 'Senior Associate Consultant', 'Associate Consultant']","['Apr 2022 - Present · 8 mos', 'Gurugram, Haryana, India', 'Apr 2021 - Present · 1 yr 8 mos', 'Gurugram, Haryana, India', 'Aug 2020 - Mar 2021 · 8 mos', 'Gurugram, Haryana, India']"
35,NRI (Nomura Research Institute),['Internship'],"['May 2019 - Jun 2019 · 2 mos', 'Gurgaon, India']"
35,Mood Indigo IIT Bombay,['Core Group Member'],"['Mar 2018 - Mar 2019 · 1 yr 1 mo', 'Mumbai Area, India']"
35,"The Design Club, IIT Bombay",['Convener'],"['Mar 2017 - Mar 2018 · 1 yr 1 mo', 'Mumbai Area, India']"
35,Innovision,['Intern'],"['Nov 2017 - Dec 2017 · 2 mos', 'Mumbai Area, India']"
