profile_id_dummy,company,positions,durations
54,McKinsey & Company,"['Partner', 'Associate Partner', 'Engagement Manager; Associate']","['Nov 2020 - Present · 2 yrs 1 mo', 'Atlanta', 'Nov 2016 - Nov 2020 · 4 yrs 1 mo', 'Atlanta', 'Aug 2013 - Oct 2016 · 3 yrs 3 mos']"
54,Bain & Company,['Summer Associate'],"['Jun 2012 - Aug 2012 · 3 mos', 'Copenhagen Area, Denmark']"
54,McNally Capital,['Spring Intern'],"['Mar 2012 - Jun 2012 · 4 mos', 'Chicago']"
54,Vestas Wind Systems,['Six Sigma Black Belt'],"['Oct 2008 - Aug 2011 · 2 yrs 11 mos', 'Aarhus, Denmark']"
54,Siemens,['Sr. Project Engineer'],"['May 2006 - Nov 2008 · 2 yrs 7 mos', 'Cincinnati, Ohio Area']"
