profile_id_dummy,company,positions,durations
95,McKinsey & Company,['Associate Partner'],"['Aug 2018 - Present · 4 yrs 4 mos', 'New York, New York']"
95,"Weil, Gotshal & Manges LLP",['Summer Associate'],"['May 2016 - Aug 2016 · 4 mos', 'New York, New York']"
95,United States Marine Corps,"['Scout Sniper Platoon Commander', 'Afghan National Security Forces Advisor']","['Mar 2013 - Feb 2015 · 2 yrs', 'Okinawa, Japan', 'Feb 2010 - Mar 2013 · 3 yrs 2 mos', 'Now Zad District, Helmand Province, Afghanistan']"
