profile_id_dummy,company,positions,durations
49,McKinsey & Company,"['Associate Partner', 'Engagement Manager', 'Associate']","['Jul 2022 - Present · 5 mos', 'New York City Metropolitan Area', 'Jan 2020 - Present · 2 yrs 11 mos', 'Sep 2018 - Present · 4 yrs 3 mos', 'Toronto, Canada Area']"
49,Amazon,['Retail leadership Development Program Intern (Product Management)'],"['Jun 2016 - Aug 2016 · 3 mos', 'Greater Seattle Area']"
49,Media.Net,"['Business Development Lead - Publisher Partnerships', 'Sr. Business Development Specialist - Publisher Partnerships', 'Business Development Specialist - Publisher Partnerships']","['Mumbai Area, India', 'Jul 2014 - Jun 2015 · 1 yr', 'Jan 2014 - Jun 2014 · 6 mos', 'May 2011 - Dec 2013 · 2 yrs 8 mos']"
49,PricewaterhouseCoopers,['Management Intern'],"['May 2010 - Sep 2010 · 5 mos', 'Mumbai Area, India']"
49,Tata Consultancy Services Asia Pacific Pte. Ltd.,['Technical Intern'],"['Jan 2009 - Apr 2009 · 4 mos', 'Mumbai Area, India']"
