profile_id_dummy,education_institute,degree_list
34,Faculty of Management Studies - University of Delhi,"['Master of Business Administration (M.B.A.), Marketing and Finance', '2012 - 2014']"
34,Netaji Subhas Institute of Technology,"[""Bachelor's Degree, Electronics and Communications Engineering"", '2008 - 2012']"
