profile_id_dummy,company,positions,durations
34,Bain & Company · Full-time,['Management Consultant'],"['May 2022 - Present · 7 mos', 'New Delhi, Delhi, India']"
34,Aditya Birla Group - Birla Estates · Full-time,"['Head Of Business Development & Strategy, North India']",['Dec 2018 - Apr 2022 · 3 yrs 5 mos']
34,Godrej Properties,"['Deputy General Manager, Strategy and Business Development', 'Senior Manager, Strategy & Business Development']","['Apr 2018 - Dec 2018 · 9 mos', 'Apr 2016 - Mar 2018 · 2 yrs']"
34,Godrej Group,"['Manager, Strategy']","['Jun 2014 - Mar 2016 · 1 yr 10 mos', 'New Delhi Area, India']"
34,Reliance Industries Ltd.,['Summer Intern'],"['Apr 2013 - May 2013 · 2 mos', 'Mumbai Area, India']"
