profile_id_dummy,company,positions,durations
129,Boston Consulting Group (BCG),['Partner'],['2022 - Present · 11 mos']
129,Boston Consulting Group (BCG),"['Principal', 'Expert Director, Data Sciences']","['2019 - 2021 · 2 yrs', '2014 - 2019 · 5 yrs']"
129,Marketics,['Group Manager - Data Sciences Consulting'],['2007 - 2014 · 7 yrs']
129,AbsolutData Research & Analytics,['Senior Analyst'],['2006 - 2007 · 1 yr']
129,"ERNET India, Department of Electronics & IT (DeitY), MC&IT, Govt. of India · Internship",['Intern'],['2005 · Less than a year']
