profile_id_dummy,company,positions,durations
0,Accenture,"['Management Consultant', 'Management Consulting Analyst']","['May 2021 - Present · 1 yr 7 mos', 'Jun 2018 - Apr 2021 · 2 yrs 11 mos', 'Bengaluru, Karnataka, India']"
0,UNDP · Part-time,['Environment & Human Rights Journalist'],"['Aug 2020 - Jan 2021 · 6 mos', 'Mongolia']"
0,Pidilite Industries Limited · Internship,['Corporate Strategy Intern'],"['Apr 2017 - May 2017 · 2 mos', 'Mumbai, India']"
0,"HPCL-Data Center,Hitech City · Internship",['Software Development Intern'],"['May 2014 - Jul 2014 · 3 mos', 'Hyderabad, Telangana, India']"
0,Hangrr.com · Internship,['Digital Marketing Intern'],"['May 2014 - Jul 2014 · 3 mos', 'Remote']"
