profile_id_dummy,education_institute,degree_list
129,"Management Development Institute, Gurgaon","['Master of Business Administration (M.B.A.), Marketing, Finance']"
129,Kurukshetra University,"['Bachelor of Technology (B.Tech.), Electronics & Communication Engineering']"
