profile_id_dummy,company,positions,durations
43,McKinsey & Company · Full-time,['Management Consultant'],"['Sep 2021 - Present · 1 yr 3 mos', 'Boston, Massachusetts, United States']"
43,116 Street Ventures,['Venture Fellow'],"['Jan 2021 - Feb 2022 · 1 yr 2 mos', 'New York City Metropolitan Area']"
43,Alumni Ventures Group,['Venture Fellow'],"['Jan 2021 - Feb 2022 · 1 yr 2 mos', 'New York City Metropolitan Area']"
43,Mirror Capital,['Co-Founder'],"['Dec 2019 - Jan 2022 · 2 yrs 2 mos', 'New York, United States']"
43,Simon-Kucher & Partners,['Consultant'],"['Feb 2020 - Aug 2021 · 1 yr 7 mos', 'Greater Boston Area']"
