profile_id_dummy,company,positions,durations
12,University of Minnesota - Carlson School of Management,['Graduate Teaching Assistant'],"['Oct 2022 - Present · 2 mos', 'Minneapolis, Minnesota, United States']"
12,Carlson Analytics Lab,['Data Science Student Consultant'],"['Jul 2022 - Present · 5 mos', 'Minneapolis, Minnesota, United States']"
12,Barclays · Full-time,['Assistant Manager - Barclays UK Data and Analytics'],"['Oct 2020 - May 2022 · 1 yr 8 mos', 'Delhi, India']"
12,Indus Insights,"['Senior Associate', 'Associate']","['Aug 2019 - Oct 2020 · 1 yr 3 mos', 'Feb 2019 - Aug 2019 · 7 mos', 'Gurgaon, India']"
12,ZS,['Decision Analytics Associate'],"['Jun 2017 - Feb 2019 · 1 yr 9 mos', 'Gurgaon, India']"
