profile_id_dummy,company,positions,durations
154,Boston Consulting Group (BCG) · Full-time,['Principal'],"['May 2021 - Present · 1 yr 7 mos', 'Bengaluru, Karnataka, India']"
154,The Boston Consulting Group (BCG),"['Project Leader', 'Consultant', 'Senior Associate']","['May 2019 - Apr 2021 · 2 yrs', 'New Delhi Area, India', 'May 2017 - Apr 2019 · 2 yrs', 'May 2015 - Apr 2017 · 2 yrs', 'Gurgaon, India']"
154,The Boston Consulting Group,['Summer Associate'],"['Apr 2014 - Jun 2014 · 3 mos', 'New Delhi Area, India']"
154,Godfrey Phillips India Ltd,['Management Trainee'],"['Sep 2011 - Sep 2012 · 1 yr 1 mo', 'New Delhi Area, India']"
