profile_id_dummy,company,positions,durations
153,Boston Consulting Group (BCG),"['Principal', 'Project Leader', 'Consultant']","['Apr 2022 - Present · 8 mos', 'New York, United States', 'Oct 2020 - Mar 2022 · 1 yr 6 mos', 'New York, United States', 'Sep 2018 - Sep 2020 · 2 yrs 1 mo', 'New York, New York']"
153,BCG Digital Ventures,['Senior Venture Architect'],"['May 2019 - May 2021 · 2 yrs 1 mo', 'New York, New York']"
153,BCG GAMMA · Full-time,['Senior Data Scientist'],"['Mar 2020 - Jun 2020 · 4 mos', 'New York, United States']"
153,Morgan Stanley · Internship,['Summer Analyst'],"['Jun 2015 - Aug 2015 · 3 mos', 'New York']"
153,Goldman Sachs · Internship,['Summer Analyst'],"['Jun 2014 - Aug 2014 · 3 mos', 'New York']"
