profile_id_dummy,company,positions,durations
112,NASA Jet Propulsion Laboratory,"['Principal Data Scientist', 'Senior Data Scientist', 'Data Scientist']","['Feb 2022 - Present · 10 mos', 'Pasadena, California, United States', 'Jun 2018 - May 2022 · 4 yrs', 'Pasadena, California, United States', 'Jun 2016 - Jun 2018 · 2 yrs 1 mo', 'Pasadena, California, United States']"
112,The Apache Software Foundation,['Apache Nutch PMC member and comitter'],['Sep 2015 - Present · 7 yrs 3 mos']
112,University of Southern California,['MS in Computer Science'],"['Jan 2014 - Dec 2015 · 2 yrs', 'Greater Los Angeles Area']"
112,USC Viterbi School of Engineering,['Course Grader for Analysis of Algorithms'],"['Jan 2015 - May 2015 · 5 mos', 'Greater Los Angeles Area']"
112,USC Institute for Creative Technologies,['Research Assistant'],"['May 2014 - Aug 2014 · 4 mos', 'Greater Los Angeles Area']"
