profile_id_dummy,company,positions,durations
36,C3 AI · Full-time,['Principal Data Scientist'],['Mar 2022 - Present · 9 mos']
36,Morgan Stanley,['Vice President'],"['Jul 2018 - Feb 2022 · 3 yrs 8 mos', 'Greater New York City Area']"
36,JPMorgan Chase & Co.,['Vice President'],"['May 2017 - Jun 2018 · 1 yr 2 mos', 'Greater New York City Area']"
36,Morgan Stanley,['VP'],"['May 2014 - May 2017 · 3 yrs 1 mo', 'Greater New York City Area']"
36,Wellington Management,['VP'],"['Dec 2012 - Apr 2014 · 1 yr 5 mos', 'Greater Boston Area']"
