profile_id_dummy,education_institute,degree_list
98,University of Connecticut School of Business,"['Master of Science (MS), Business Analytics and Project Management', '2017 - May 2018']"
98,careers for Thrikkakkara,"['Bachelor of Technology (B.Tech.), Electronics and Communications Engineering', '2006 - 2010']"
