profile_id_dummy,company,positions,durations
83,DoorDash,['Data Scientist Machine Learning'],['Feb 2022 - Present · 10 mos']
83,Integra Credit · Full-time,['Data Scientist'],"['Jul 2020 - Feb 2022 · 1 yr 8 mos', 'Chicago, Illinois, United States']"
83,State Farm ®,"['P&C Actuarial Intern', 'Lead Intern']","['Urbana-Champaign, Illinois Area', 'May 2019 - Aug 2020 · 1 yr 4 mos', 'Aug 2019 - May 2020 · 10 mos']"
83,iSchool Chinese Students and Scholars Group - UIUC,['Vice President'],"['Aug 2019 - May 2020 · 10 mos', 'Urbana-Champaign, Illinois Area']"
83,Business Illinois Group,['Senior Consultant'],"['Jan 2019 - May 2019 · 5 mos', 'Urbana-Champaign, Illinois Area']"
