profile_id_dummy,company,positions,durations
110,Baldwin Risk Partners · Full-time,['Principal Data Scientist'],['Mar 2022 - Present · 9 mos']
110,Kellogg Company · Full-time,['Principal Data Scientist'],['May 2021 - Mar 2022 · 11 mos']
110,Comerica Bank · Full-time,['Senior Data Scientist'],"['May 2017 - May 2021 · 4 yrs 1 mo', 'Auburn Hills, MI']"
110,"Ford Motor Company, Global Data Insights & Analytics",['Data Scientist'],"['Nov 2014 - Apr 2017 · 2 yrs 6 mos', 'Deaborn, MI']"
110,General Motors,['Researcher'],"['Jan 2011 - Oct 2014 · 3 yrs 10 mos', 'Warren, MI']"
