profile_id_dummy,company,positions,durations
38,PayPal · Full-time,['Principal Data Scientist'],"['Nov 2021 - Present · 1 yr 1 mo', 'Bangalore Urban, Karnataka, India']"
38,Philips · Full-time,['Data Science Manager'],"['Oct 2020 - Nov 2021 · 1 yr 2 mos', 'Bangalore Urban, Karnataka, India']"
38,Epsilon · Full-time,['Senior Data Analyst'],"['Jan 2017 - Oct 2020 · 3 yrs 10 mos', 'Bengaluru Area, India']"
38,Viscadia Inc. · Full-time,['Analyst'],"['Oct 2015 - Jan 2017 · 1 yr 4 mos', 'New Delhi Area, India']"
38,Mu Sigma Inc.,['Senior Business Analyst'],"['Apr 2015 - Sep 2015 · 6 mos', 'Bengaluru Area, India']"
