profile_id_dummy,education_institute,degree_list
19,Carnegie Mellon University - Heinz College of Information Systems and Public Policy,"['Master of Information Systems Management, Business Intelligence and Data Analytics', '2014 - 2015']"
19,Harrisburg University of Science and Technology,"['Masters in Analytics, Machine Learning', '2019']"
19,SSN College of Engineering,"['Bachelor of Engineering (BE), Electrical and Electronics Engineering', '2006 - 2010']"
