profile_id_dummy,company,positions,durations
59,Vanguard · Full-time,['Principal Data Scientist'],['Jan 2022 - Present · 11 mos']
59,Strategic Financial Solutions NY · Full-time,['Manager of Data Science'],"['2019 - 2021 · 2 yrs', 'New York, New York, United States']"
59,JPMorgan Chase & Co.,"['Vice President, Quantitative Research']","['2017 - 2019 · 2 yrs', 'Greater New York City Area']"
59,Quicken Loans,['Senior Data Scientist'],"['2015 - 2017 · 2 yrs', 'Greater Detroit Area']"
59,Waterloo CFD Engineering Consulting Inc.,['NSERC IRDF Post Doctorate'],"['2013 - 2015 · 2 yrs', 'Waterloo. Ontario, Cananda']"
