profile_id_dummy,company,positions,durations
30,AnitaB.org,['AI Committee Member'],['Oct 2022 - Present · 2 mos']
30,Nike · Full-time,['Principal Data Scientist | Personalized Sport Experience Data Science Director'],"['Feb 2022 - Present · 10 mos', 'New York, New York, United States']"
30,Boarding Pass For Success,['Data Science Mentor'],"['Jun 2021 - Present · 1 yr 6 mos', 'New York, United States']"
30,Amazon Web Services (AWS),"['Senior Data Scientist ( Data Scientist III )', 'Data Scientist II']","['Jul 2021 - Feb 2022 · 8 mos', 'New York, New York, United States', 'Aug 2019 - Jun 2021 · 1 yr 11 mos', 'New York, United States']"
30,Rewriting the Code,['Data Science Mentor'],['May 2019 - Oct 2021 · 2 yrs 6 mos']
