profile_id_dummy,company,positions,durations
33,Capital One,"['Principal Data Scientist', 'Senior Data Scientist']","['Washington D.C. Metro Area', 'Jan 2020 - Present · 2 yrs 11 mos', 'Sep 2019 - Jan 2020 · 5 mos']"
33,University of Cincinnati Carl H. Lindner College of Business,['Graduate Teaching Assistant'],['Aug 2018 - May 2019 · 10 mos']
33,BNY Mellon,['Technical Lead Business Analyst'],"['Apr 2015 - Feb 2017 · 1 yr 11 mos', 'Chennai']"
33,Kaybase,['Summer Intern - Market Research & Analytics'],"['Apr 2014 - May 2014 · 2 mos', 'Chennai']"
33,Tata Consultancy Services,['Systems Engineer'],['Nov 2009 - Apr 2013 · 3 yrs 6 mos']
