profile_id_dummy,company,positions,durations
19,Comcast,"['Principal Data Scientist', 'Lead Data Scientist', 'Senior Data Scientist']","['Sep 2021 - Present · 1 yr 3 mos', 'Aug 2019 - Aug 2021 · 2 yrs 1 mo', 'Mar 2018 - Jul 2019 · 1 yr 5 mos', 'Greater Philadelphia Area']"
19,Carnegie Mellon University - H. John Heinz III College,['Graduate Teaching Assistant'],"['Jan 2015 - Oct 2015 · 10 mos', 'Greater Pittsburgh Area']"
19,LivingSocial,['Data Scientist Intern'],"['May 2015 - Aug 2015 · 4 mos', 'Washington D.C. Metro Area']"
19,Aricent,['Senior Data Engineer'],"['Jul 2010 - Jul 2014 · 4 yrs 1 mo', 'Bangalore, India']"
