profile_id_dummy,company,positions,durations
20,Metropolitan Transportation Commission,['Principal Data Scientist'],"['Sep 2022 - Present · 3 mos', 'San Francisco, California, United States']"
20,Aurora,['Senior Data Analyst'],"['Nov 2021 - Sep 2022 · 11 mos', 'San Francisco, California, United States']"
20,Metropolitan Transportation Commission,['Associate Planner/Analyst'],"['May 2019 - Nov 2021 · 2 yrs 7 mos', 'San Francisco, California, United States']"
20,City of Costa Mesa,['Acting Associate Engineer'],"['Oct 2017 - May 2019 · 1 yr 8 mos', 'Costa Mesa, California, United States']"
20,Fehr & Peers,['Senior Transportation Engineer'],"['Nov 2013 - Sep 2017 · 3 yrs 11 mos', 'Anaheim, California, United States']"
