profile_id_dummy,company,positions,durations
79,Microsoft · Full-time,['Principal Data Scientist'],"['Apr 2022 - Present · 8 mos', 'Redmond, Washington, United States']"
79,Amazon · Full-time,['Data Science and Analytics Manager'],"['Sep 2020 - Apr 2022 · 1 yr 8 mos', 'Seattle, Washington, United States']"
79,Microsoft,"['AI-611 - Advanced Projects in AI', 'Group Manager, Analytics - Global Financial Solutions', 'Sr. Manager, Services Capacity Planning']","['Dec 2017 - Sep 2020 · 2 yrs 10 mos', 'Redmond, WA', 'Sep 2014 - Sep 2020 · 6 yrs 1 mo', 'Greater Seattle Area', 'Apr 2012 - Sep 2014 · 2 yrs 6 mos', 'Redmond, Washington, United States']"
79,DataKind,['Volunteer Data Scientist Lead'],"['Feb 2019 - Oct 2019 · 9 mos', 'New York, United States']"
79,University of Washington · Full-time,"['Doctoral Student, Finance']",['Sep 2010 - Jun 2014 · 3 yrs 10 mos']
