profile_id_dummy,company,positions,durations
91,eBay · Full-time,['Data Scientist'],"['Nov 2021 - Present · 1 yr 1 mo', 'Seattle, Washington, United States']"
91,Walmart · Full-time,['Data Scientist'],"['Feb 2020 - Oct 2021 · 1 yr 9 mos', 'Arkansas']"
91,Terman Group LLC,['Data Science Intern'],"['Sep 2019 - Dec 2019 · 4 mos', 'Greater New York City Area']"
91,Capital One,['Data Science Institute - Capstone Project'],"['Sep 2019 - Dec 2019 · 4 mos', 'Greater New York City Area']"
91,Autodesk,['Machine Leaning Intern'],"['Jun 2019 - Aug 2019 · 3 mos', 'San Francisco Bay Area']"
