profile_id_dummy,company,positions,durations
58,Truveta · Full-time,['Principal Data Scientist'],"['Aug 2022 - Present · 4 mos', 'Bellevue, Washington, United States']"
58,David Geffen School of Medicine at UCLA,['Data Scientist'],"['Oct 2017 - Jul 2022 · 4 yrs 10 mos', 'Los Angeles']"
58,Florida International University,"['Instructor of  Physics, e-Learning', 'Graduate Research Assistant']","['Aug 2016 - Jul 2017 · 1 yr', 'Miami Florida', 'Aug 2011 - Nov 2016 · 5 yrs 4 mos', 'Miami, FL-33199']"
