profile_id_dummy,company,positions,durations
108,Walmart Global Tech,"['Distinguished Data Scientist', 'Principal Data Scientist', 'Staff Data Scientist / Tech Lead']","['Oct 2022 - Present · 2 mos', 'Sunnyvale, California, United States', 'Aug 2019 - Oct 2022 · 3 yrs 3 mos', 'Sunnyvale', 'May 2018 - Jul 2019 · 1 yr 3 mos', 'Sunnyvale, CA']"
108,Amazon,"['Research Scientist, Software Engineer']","['Aug 2013 - Apr 2018 · 4 yrs 9 mos', 'Seattle, WA']"
108,Duke University,"['Visiting Faculty Member and Research Associate', 'Research Assistant']","['Department of Computer Science', 'May 2012 - Jul 2013 · 1 yr 3 mos', 'Aug 2006 - May 2012 · 5 yrs 10 mos']"
108,Dartmouth College,"['Research Assistant', 'Teaching Assistant']","['Department of Computer Science', 'Mar 2006 - Aug 2006 · 6 mos', 'Sep 2005 - Jun 2006 · 10 mos']"
108,University of Oklahoma,['Research Assistant'],"['Jan 2004 - May 2005 · 1 yr 5 mos', 'School of Computer Science']"
