profile_id_dummy,company,positions,durations
22,Société Générale · Full-time,['Principal Data Scientist'],"['Mar 2019 - Present · 3 yrs 9 mos', 'Chennai Area, India']"
22,The Fabric · Full-time,['Senior Data Scientist'],"['Nov 2018 - Mar 2019 · 5 mos', 'Chennai']"
22,Tata Communications · Full-time,['Senior Manager - Data Science'],"['May 2017 - Nov 2018 · 1 yr 7 mos', 'Chennai']"
22,Verizon Enterprise Solutions · Full-time,['Consultant Data Scientist'],"['Dec 2007 - May 2017 · 9 yrs 6 mos', 'Chennai, Tamil Nadu, India']"
22,NDS service Pay TV Technology,['Software Engineer'],['Oct 2005 - Nov 2007 · 2 yrs 2 mos']
