profile_id_dummy,education_institute,degree_list
31,Udacity,"['Nanodegree, Deep Learning', '2018 - 2018']"
31,Udacity,"['Nanodegree, Computer Vision', '2018 - 2018']"
31,"Indian Institute of Technology, Madras","[""Master's degree, Electrical, Electronics and Communications Engineering"", '2003 - 2005']"
