profile_id_dummy,education_institute,degree_list
117,New York University,"[""Master's degree, Computer Engineering"", 'Sep 2019 - Dec 2020']"
117,Delhi College of Engineering,"['Bachelor of Technology, Electronics and Communication with specialization in Applied Physics', '2015 - 2019']"
117,"Frank Anthony Public School,New Delhi",['2001 - 2015']
