profile_id_dummy,company,positions,durations
113,H&R Block · Full-time,['Data Science Manager'],['Oct 2022 - Present · 2 mos']
113,Baker Hughes,"['Principal Data Scientist', 'Sr. Data Scientist / Sr. Analytics Engineer']","['Nov 2020 - Sep 2022 · 1 yr 11 mos', 'Houston, Texas, United States', 'Oct 2018 - Oct 2020 · 2 yrs 1 mo', 'Oklahoma City, Oklahoma Area']"
113,Saint Francis University · Full-time,['Assistant Professor'],"['Aug 2014 - Oct 2018 · 4 yrs 3 mos', 'Loretto PA']"
113,West Virginia University,"['Graduate Teaching Assistant', 'Research Assistant - Data Scientist']","['Morgantown, WV', 'Aug 2011 - Aug 2014 · 3 yrs 1 mo', 'Aug 2010 - Aug 2014 · 4 yrs 1 mo']"
