profile_id_dummy,company,positions,durations
75,Teradata,['Principal Data Scientist'],['2018 - Present · 4 yrs 11 mos']
75,Harvard Extension School · Part-time,['Instructor'],['2022 - Present · 11 mos']
75,"NBCUniversal Media, LLC","['Director, Marketing Data Science and Analytics', 'Director, Marketing']","['Greater Los Angeles Area', '2017 - 2018 · 1 yr', '2011 - 2017 · 6 yrs']"
75,The Walt Disney Company,"['Manager, Global Marketing Strategy', 'Manager, Marketing', 'Sr. Business Planner (Finance)']","['Greater Los Angeles Area', '2009 - 2011 · 2 yrs', '2006 - 2009 · 3 yrs', '2004 - 2006 · 2 yrs']"
75,NT Ventures,['Venture Capital Intern'],"['Oct 2002 - Dec 2002 · 3 mos', 'Greater Boston Area']"
