profile_id_dummy,education_institute,degree_list
23,"Birla Institute of Technology and Science, Pilani","['M.Tech, Chemical Engineering']"
23,Goa Institute of Management,"['Master of Business Administration (M.B.A.), Finance, General']"
23,Malaviya National Institute of Technology Jaipur,"['Bachelor of Technology (BTech), Chemical Engineering']"
