profile_id_dummy,company,positions,durations
54,Oracle,"['Principal Data Scientist', 'Senior Data Scientist', 'Data Scientist']","['Jul 2021 - Present · 1 yr 5 mos', 'Broomfield, Colorado, United States', 'Aug 2020 - Jul 2021 · 1 yr', 'Broomfield, Colorado, United States', 'Aug 2018 - Aug 2020 · 2 yrs 1 mo', 'Greater Denver Area']"
54,Metis,['Course Designer and Instructor'],"['Jan 2018 - Apr 2019 · 1 yr 4 mos', 'Online']"
54,The University of Chicago Booth School of Business,['Research And Teaching Assistant'],['Mar 2017 - Jun 2018 · 1 yr 4 mos']
54,The University of Chicago Graham School,['Teaching Assistant'],['Aug 2017 - Mar 2018 · 8 mos']
54,NorthShore University HealthSystem,['Researcher'],"['Jan 2017 - Mar 2018 · 1 yr 3 mos', 'Greater Chicago Area']"
