profile_id_dummy,company,positions,durations
117,Walmart · Full-time,['Data Scientist'],['Jul 2021 - Present · 1 yr 5 mos']
117,Pathware · Full-time,['Machine Learning Engineer'],"['Jan 2021 - May 2021 · 5 mos', 'Seattle, Washington, United States']"
117,New York University,['Teaching Assistant'],"['Jan 2020 - Dec 2020 · 1 yr', 'Greater New York City Area']"
117,Cadence Design Systems · Internship,['Machine Learning  Engineer Intern'],"['May 2020 - Aug 2020 · 4 mos', 'San Jose, California, United States']"
117,Swansea University,['Summer Research Intern'],"['Jun 2018 - Sep 2018 · 4 mos', 'Swansea, United Kingdom']"
