profile_id_dummy,company,positions,durations
95,The Kraft Heinz Company · Full-time,['Principal Data Scientist'],"['Apr 2021 - Present · 1 yr 8 mos', 'Chicago, Illinois, United States']"
95,yhat.ai,['Chief Data Scientist'],['Apr 2014 - Present · 8 yrs 8 mos']
95,Y-Hat School of AI,['Founder'],['Jan 2019 - Present · 3 yrs 11 mos']
95,Artificial Intelligence Meetup (AIM) of Bloomington-Normal,['AI Meetup Presenter and Organizer'],"['May 2019 - May 2022 · 3 yrs 1 mo', 'Bloomington/Normal, Illinois Area']"
95,A fortune 50 Insurance company in Central Illinois,"['Senior Data Scientist', 'Lead Solution Architect']","['Jul 2016 - Apr 2021 · 4 yrs 10 mos', 'Central Illinois, United States', 'Feb 2008 - Jun 2016 · 8 yrs 5 mos', 'Bloomington/Normal, Illinois Area']"
