profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree
34,Faculty of Management Studies - University of Delhi,"Master of Business Administration (M.B.A.), Marketing and Finance",2012,2014
34,Netaji Subhas Institute of Technology,"Bachelor's Degree, Electronics and Communications Engineering",2008,2012
35,Little Flower School,"Matriculation, History, Civics, Math, Geography, Basic Sciences, Computer Applications, Hindi, English",2002,2014
35,"Indian Institute of Technology, Bombay","Bachelor of Technology (B.Tech.), Chemical Engineering",2016,2020
35,Vidya Bharati Chinmaya Vidyalaya,"Intermediate, English, Computer Science, Science, Math",2014,2016
36,Emory University - Goizueta Business School,"Executive Education, Business",2011,2011
36,Massachusetts Institute of Technology,Data Science and Big Data Analytics,2018,2018
36,The Johns Hopkins University,"Executive, Executive Data Science & Data Science Specialization",2016,2017
37,Vellore Institute of Technology,"Bachelor of Technology - BTech, Mechanical Engineering",2009,2013
37,Massachusetts Institute of Technology,"Master of Science - MS, Supply Chain Management",2021,2022
37,Faculty of Management Studies - University of Delhi,"Master of Business Administration - MBA, Operations and Marketing",2015,2017
38,Indian Institute of Management Udaipur,"Master of Business Administration - MBA, Business Administration and Management, General",2019,2021
38,National Institute of Technology Warangal,"Engineer’s Degree, Civil Engineering",2012,2016
38,Berlin British School,High School,2008,2012
39,"Indian Institute of Management, Lucknow",Master of Business Administration - MBA,2017,2019
39,Delhi Technological University (Formerly DCE),"Bachelor of Technology (B.Tech.), Electrical and Electronics Engineering",2012,2016
40,Carnegie Mellon University - Tepper School of Business,Master of Business Administration - MBA,2022,2024
40,Jawaharlal Nehru Technological University,"Bachelor of Technology - BTech, Electronics and Communications Engineering",2007,2011
41,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),Master of Business Administration - MBA,2019,2021
41,B. M. S. College of Engineering,"Bachelor of Technology - BTech, Mechanical Engineering",2010,2014
41,Sommerville Scool Noida,,1996,2010
42,HEC Paris,Master of Business Administration - MBA,2021,2021
42,Northwestern University - Kellogg School of Management,Master of Business Administration - MBA,2019,2021
42,"Indian Institute of Technology, Bombay","Master of Technology (M.Tech.), Nanotechnology",2010,2015
43,Columbia Engineering,"M.S., Business Analytics with Concentration in Fintech",1900,1900
43,Columbia Business School,"M.S., Business Analytics",2018,2020
43,The Wharton School,"Undergraduate Exchange Student, Statistics and Economics",1900,1900
44,"Birla Institute of Technology and Science, Pilani","Bachelor of Engineering (B.E.), Electrical and Electronics Engineering",2011,2016
44,"Birla Institute of Technology and Science, Pilani","Master's degree, Economics",2011,2016
45,"Birla Institute of Technology and Science, Pilani",Chemical Engineering,2010,2014
45,Kendriya Vidyalaya,"Intermediate, Science",2008,2010
45,National Institute of Industrial Engineering,"Master of Business Administration - MBA, Operations & Strategy",2017,2019
46,INSEAD,Master of Business Administration - MBA,2010,2011
46,"Indian Institute of Technology, Bombay",Bachelor of Technology - BTech,2000,2004
47,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),"Bachelor of Technology (B.Tech.), Computers",1900,1900
47,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),"Master of Business Administration (MBA), Finance",1900,1900
47,Harvard University,"HPAIR Fellow - Entrepreneurship, Entrepreneurship/Entrepreneurial Studies",2013,2013
48,Northwestern University - Kellogg School of Management,Master of Business Administration (MBA),2013,2015
48,"Indian Institute of Technology, Kanpur","BTech, Mechanical Engineering",2003,2007
48,Bansals,,1900,1900
49,Maharani Gayatri Devi Girls School,,1994,2006
49,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),"MBA-tech, Finance/Marketing",2006,2011
49,Northwestern University - Kellogg School of Management,Master of Business Administration (MBA),2015,2017
50,Shaheed Sukhdev College Of Business Studies,"Bachelor of Business Studies, Finance, General",2009,2012
50,G.D.Goenka Public School,Finance,2001,2009
51,Indian Institute of Management Bangalore,"Post Graduate Diploma in Management, Marketing, Strategy and Finance",2008,2010
51,Northwestern University - Kellogg School of Management,"Master of Business Administration (MBA), Management & Strategy, Finance and Marketing",2014,2015
51,"Indian Institute of Technology (Banaras Hindu University), Varanasi","Bachelor of Technology, Metallurgical Engineering",2004,2008
52,Cornell University,"Doctor of Philosophy (PhD), Mechanical Engineering",1900,1900
52,"Indian Institute of Technology, Delhi","Bachelor of Technology (B.Tech.), Mechanical Engineering",1900,1900
52,Cornell University,"Master of Science (M.S.), Mechanical Engineering",1900,1900
53,The University of Texas at Austin,"Bachelor of Science (BS), Chemical Engineering",2012,2016
53,Anderson High School,,2008,2012
54,University of Cincinnati,"MS, Mechanical Engineering",2003,2005
54,Harvard Business School,"Executive Program, Driving Corporate Performance",2010,2010
54,Northwestern University - Kellogg School of Management,"MBA, Finance & Analytical Consulting",2011,2013
55,MIT Sloan School of Management,"MBA, Strategy and Finance",2007,2009
55,"Indian Institute of Technology, Kharagpur","B-Tech, Electrical Engineering",1900,1900
56,Indian Institute of Management Ahmedabad,"PGP, General Management",2011,2013
56,"SSN College of Engineering, Anna University","B.E., Electronics & Communications",2005,2009
57,Indian School of Business,"Master of Business Administration (MBA), Strategy and Marketing",2015,2016
57,Indian Institute of Technology Jodhpur,"Bachelor of Technology (B.Tech.), Electrical and Electronics Engineering",2009,2013
57,"Sir Parashurambhau College, Pune","Higher Secondary School Certificate, Science",2007,2009
59,Indian Institute of Management Ahmedabad,"PGPX (One-year MBA), Management",2006,2007
59,New Jersey Institute of Technology,"M.S., Mechanical Engineering",1995,1996
59,"Indian Institute of Technology, Bombay","B.Tech, Mechanical Engineering",1991,1995
60,Vanderbilt University,"BS, Economics, Computer Science",1900,1900
60,Southern Methodist University,"MS, Systems Engineering",1900,1900
61,Yale University,"PhD Program, Classics, Comparative Literature",1992,2000
61,Princeton University,"1992, Comparative Literature",1988,1992
62,Purdue University,"Master’s Degree, Industrial Engineering",2013,2015
62,"University of California, Berkeley","Bachelor of Science (BS), Nuclear Engineering, Mechanical Engineering",2004,2007
62,Indiana University - Kelley School of Business,"Master of Business Administration (M.B.A.), Business Administration and Management, General",2014,2017
63,Bangalore University,"BE, Computer Science",1900,1900
63,Stevens Institute of Technology,"MBA, Technology Management",1900,1900
63,"Birla Institute of Technology and Science, Pilani","MS, Software systems",1900,1900
64,The University of Chicago Booth School of Business,"MBA (with Honors), Finance, Strategy, Operations, Entrepreneurship",1900,1900
64,"Institute of Management Technology, Ghaziabad","Postgraduate Diploma in Business Management, Marketing,",1900,1900
64,Osmania University,"Bachelor of Computer Applications, Computer Science",1900,1900
65,Faculty of Management Studies - University of Delhi,"MBA, Strategy, Marketing and Finance",2002,2004
65,Osmania University,"BE, Mechanical Engineering",1998,2002
66,University of Cambridge,"Master of Philosophy (M.Phil.), Technology Policy",1900,1900
66,Massachusetts Institute of Technology,"Master of Engineering (M.Eng.), Electrical Engineering and Computer Science",1900,1900
66,Massachusetts Institute of Technology,"Bachelor of Science (B.S.), Electrical Engineering and Computer Science",1900,1900
67,Weatherhead School of Management at Case Western Reserve University,MEM,2004,2005
67,Case Western Reserve University,Bachelors of Systems and Control Engineering,2005,2005
67,McKinsey & Company,Mini MBA,2007,2007
68,Westwood High School,International Baccalaureate Diploma,2003,2007
68,The University of Texas at Austin,"BBA, Supply Chain Management",2007,2010
68,Harvard Business School,Master of Business Administration (MBA),2013,2015
69,Columbia Business School,Certificate in ESG Investing,2022,2022
69,University of Cambridge,Master of Business Administration (MBA),1900,1900
69,Carnegie Mellon University,"M.S. Civil & Environmental Engineering, Advanced Infrastructure Systems",1900,1900
70,The University of Texas at Arlington,"Bachelor of Science, Information Systems",2001,2001
70,Texas McCombs School of Business,Master of Business Administration - MBA,2008,2008
71,University of Chicago,"Master’s Degree, Analytics",1900,1900
71,Galgotia's College of Engineering and Technology,"Bachelor's Degree, Electronics and Communication Engineering",1900,1900
72,New York University - Leonard N. Stern School of Business,"MBA, Strategy, Finance, Marketing",1900,1900
72,Rutgers University,"BA, Economics, Information Technology & Informatics",1900,1900
73,Harvard Business School,MBA,2002,2004
73,Boğaziçi University,"MSc., Mechanical Engineering",1990,1994
