profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree
150,"Indian Institute of Technology, Bombay","Dual Degree (B.Tech.+ M.Tech.), Mechanical Engineering",2008,2013
150,"Indian Institute of Management, Calcutta",Master of Business Administration - MBA,2014,2016
151,St. Gregorios High School,"Class 10, Basic sceiences, Maths , Social Sciences,English Literature",1995,2008
151,"Indian Institute of Management, Calcutta","Master of Business Administration (M.B.A.), Finance and Strategy",2014,2016
151,"Birla Institute of Technology and Science, Pilani","Engineer's Degree, Mechanical Engineering",2010,2014
152,University of Michigan,"Doctor of Philosophy (PhD), Mechanical Engineering",1900,1900
152,University of Michigan,"Master of Science (M.Sc.), Mechanical Engineering",1900,1900
152,University of Michigan,"Master of Science (M.Sc.), Electrical and Computer Engineering",1900,1900
153,European School of Brussels,European Baccalaureate,2000,2012
153,Harvard University,"Bachelor of Arts, Economics",2012,2016
154,"Indian Institute of Management, Calcutta",Post Graduate Diploma in Management (PGDM),2013,2015
154,Mannheim Business School,Exchange Student,2014,2014
154,"Indian Institute of Technology, Delhi","Bachelor of Technology (BTech), Mechanical Engineering",2007,2011
155,Massachusetts Institute of Technology,Master of Science (M.S.) in Mechanical Engineering,2013,2015
155,Massachusetts Institute of Technology,"Dual Degree S.B., Mechanical Engineering & Management Science",2007,2011
155,MIT Sloan School of Management,Master of Business Administration (MBA),2013,2015
156,Robert Gordon University,"MSc, Software Technology",2001,2002
156,Robert Gordon University,"MSc, Masters, Software Technology",2001,2002
156,University of Madras,"BSc(Hons), Computer Science",1997,2000
157,University of North Carolina at Chapel Hill,"Bachelor of Science (B.S.), Business Administration (Finance)",2007,2011
157,UCLA Anderson School of Management,Master of Business Administration (M.B.A.),2016,2018
158,Texas McCombs School of Business,"BBA, Management Information Systems, BHP",2008,2012
158,Harvard Business School,"Master of Business Administration (MBA), Business Administration and Management, General",2014,2016
159,Indian Institute of Management Bangalore,Master of Business Administration (MBA),2012,2014
159,EBS Universität für Wirtschaft und Recht,Student Exchange,2013,2013
159,"Indian Institute of Technology, Delhi","Bachelor of Technology (B.Tech.), Mechanical Engineering",2008,2012
